ko_id,S2_2016_0,S2_2017_0,S5_2016_0,S5_2017_0,S2_2016_400,S2_2017_400,S5_2016_400,S5_2017_400
K00260,1.84658736804979e-06,4.05853626860205e-06,2.9977786460233e-06,7.99480018196165e-07,1.85209536809469e-06,1.54593912710093e-06,2.48334092131948e-06,4.0075261340798e-06
K00261,0.000530893868314315,0.000606751172156006,0.000544596454027566,0.00060040949366532,0.000537107656747461,0.000565813720518941,0.000556268366375564,0.00061315149851421
K00262,6.00140894616182e-05,9.74048704464491e-05,4.89637178850472e-05,0.000107929802456482,6.38972901992669e-05,7.18861694101933e-05,6.37390836472e-05,8.71636934162357e-05
K00265,0.00066754133355,0.000760975550362884,0.000650517966187055,0.000671563215284779,0.00069453576303551,0.000734321085372942,0.000599312942345102,0.000701317073463965
K00266,0.000515197875685892,0.000503258497306654,0.000495632736142518,0.000502073451427192,0.000509326226226041,0.000491608642418096,0.000500807085799429,0.000539012265033733
K00284,0.000336078900985062,0.000305404854212304,0.00036972603300954,0.000382151448697767,0.000377827455091318,0.000336241760144453,0.000381606721576094,0.000345649129064383
K00360,1.84658736804979e-06,2.02926813430102e-06,9.99259548674432e-07,7.19532016376549e-06,1.85209536809469e-06,2.3189086906514e-06,4.96668184263896e-06,2.0037630670399e-06
K00362,0.000150496870496058,0.000122770722125212,0.000141894855911769,0.00010633084242009,0.00015001972481567,0.000115172464969019,0.000146517114357849,0.000115216376354794
K00363,6.09373831456431e-05,6.18926780961812e-05,6.59511302125125e-05,6.15599614011047e-05,7.59359100918825e-05,6.647538246534e-05,6.7050204875626e-05,6.81279442793566e-05
K00366,0.000111718535767012,0.000150165841938276,8.99333593806989e-05,0.000163893403730214,0.000112051769769729,0.000121356221477423,0.000102644758081205,0.000121227665555914
K00367,5.53976210414937e-06,7.10243847005358e-06,7.99407638939546e-06,4.79688010917699e-06,1.85209536809469e-06,3.09187825420186e-06,5.79446214974546e-06,2.0037630670399e-06
K00368,0.000260368818895021,0.000250614614586176,0.000256809704009329,0.000244640885568027,0.000282444543634441,0.000296047342839828,0.000270684160423824,0.000225423345041989
K00370,0.000241902945214523,0.000254673150854778,0.000232827474841143,0.000227052325167711,0.000256515208481115,0.000271312316806213,0.000249161872439055,0.000281528710919106
K00371,0.00013387758418361,0.000131902428729567,0.00012390818403563,0.000131914203002367,0.000123164341978297,0.000145318277947488,0.000119200364223335,0.000133250243958153
K00372,0.000274218224155394,0.000209014617833005,0.000252812665814631,0.000194273644421668,0.0002268816825916,0.000207928812595075,0.0002549563345888,0.00020939324050567
K00374,7.57100820900414e-05,6.39219462304822e-05,6.79496493098614e-05,6.39584014556932e-05,6.6675433251409e-05,8.03888346092484e-05,6.62224245685195e-05,6.61241812123167e-05
K00376,4.80112715692946e-05,2.94243879473648e-05,5.0962236982396e-05,3.99740009098083e-05,5.83410040949829e-05,4.94700520672298e-05,6.45668639543065e-05,5.91110104776771e-05
K00459,0.000373933942030083,0.000423102406001763,0.000332753429708586,0.000373357168497609,0.000357454406042276,0.000430544046897609,0.000383262282190307,0.000382718745804621
K00926,0.000421021919915352,0.000419043869733161,0.000424685308186634,0.000436516089935106,0.000463023842023673,0.000405036051300444,0.000439551343073548,0.000385724390405181
K01455,0.000215127428377801,0.000157268280408329,0.000207845986124282,0.000169489763857587,0.000207434681226606,0.000163096577909148,0.000189561690327387,0.000189355609835271
K01501,0.000252059175738797,0.000221190226638812,0.000271798597239446,0.000218258044967553,0.000269479876057778,0.000240393534264195,0.000249161872439055,0.000256481672581107
K01673,0.000448720730436099,0.000509346301709557,0.000405699376761819,0.000498875531354407,0.000424129839293685,0.000473830342456435,0.000418029055088779,0.000500940766759975
K01674,2.58522231526971e-05,2.43512176116123e-05,2.19837100708375e-05,1.75885604003156e-05,1.75949059968996e-05,2.55079955971654e-05,2.98000910558338e-05,1.80338676033591e-05
K01725,4.06249220970954e-05,3.75414604845689e-05,2.59807482655352e-05,4.31719209825929e-05,3.05595735735624e-05,2.47350260336149e-05,2.64889698274078e-05,3.50658536731983e-05
K01915,0.00261569100684253,0.00271516076369477,0.0027319756060759,0.00267266170082978,0.00271239366657468,0.00262964245519868,0.0024734075576342,0.00262693338088931
K02305,2.49289294686722e-05,6.08780440290307e-06,2.29829696195119e-05,2.23854405094926e-05,2.87074782054678e-05,1.31404825803579e-05,3.06278713629403e-05,2.90545644720786e-05
K02567,6.1860676829668e-05,2.73951198130638e-05,4.59659392390239e-05,3.11797207096504e-05,5.92670517790302e-05,4.01944173046242e-05,5.46335002690286e-05,6.31185366117569e-05
K02568,1.47726989443983e-05,7.10243847005358e-06,1.29903741327676e-05,7.19532016376549e-06,1.29646675766629e-05,6.18375650840372e-06,1.57278258350234e-05,1.30244599357594e-05
K02575,0.000196661554697303,0.000175531693617039,0.000195854871540189,0.000187078324257903,0.000215769110383032,0.000192469421324066,0.000178800546335003,0.00019536689903639
K02586,2.76988105207469e-06,2.02926813430102e-06,2.9977786460233e-06,9.59376021835398e-06,3.70419073618939e-06,7.72969563550466e-07,1.65556061421299e-06,1.10206968687195e-05
K02588,1.84658736804979e-06,2.02926813430102e-06,2.9977786460233e-06,7.19532016376549e-06,1.85209536809469e-06,0,2.48334092131948e-06,1.20225784022394e-05
K02591,9.23293684024896e-07,5.07317033575256e-06,1.99851909734886e-06,8.79428020015782e-06,2.77814305214204e-06,3.86484781775233e-06,1.65556061421299e-06,1.20225784022394e-05
K03385,0.000111718535767012,3.957072861887e-05,0.000118911886292257,5.75625613101239e-05,0.000106495483665445,6.18375650840372e-05,0.000123339265758868,0.000103193797952555
K04561,0.000221590484165975,0.000210029251900156,0.000198852650186212,0.000251836205731792,0.00024077239785231,0.000204836934340873,0.000201978394933985,0.000254477909514067
K05601,0,2.02926813430102e-06,0,3.99740009098083e-06,1.85209536809469e-06,0,0,9.01693380167955e-06
K10535,5.53976210414937e-06,1.01463406715051e-06,2.9977786460233e-06,3.99740009098083e-06,3.70419073618939e-06,2.3189086906514e-06,9.10558337817143e-06,3.00564460055985e-06
K10944,3.04686915728216e-05,3.34829242159669e-05,2.39822291681864e-05,2.79818006368658e-05,3.05595735735624e-05,2.93728434149177e-05,3.06278713629403e-05,2.60489198715187e-05
K10945,3.69317473609958e-05,3.24682901488164e-05,2.9977786460233e-05,3.35781607642389e-05,2.96335258895151e-05,3.09187825420186e-05,2.81445304416208e-05,3.20602090726384e-05
K10946,3.97016284130705e-05,5.17463374246761e-05,3.79718628496284e-05,3.91745208916121e-05,5.00065749385567e-05,3.40106607962205e-05,3.80778941268987e-05,4.20790244078379e-05
K15371,0.000763563876688589,0.000736624332751272,0.000772427631125336,0.00073792005679506,0.000769545625443345,0.000682532124615061,0.000721824427796863,0.000696307665796366
K15576,0.00013572417155166,7.60975550362884e-05,0.000141894855911769,7.51511217104395e-05,0.000124090389662345,7.34321085372942e-05,0.000122511485451761,9.71825087514352e-05
K15577,9.32526620865145e-05,4.76878011560741e-05,9.49296571240711e-05,5.91615213465162e-05,7.22317193556931e-05,5.33348998849821e-05,8.69169322461819e-05,5.81091289441571e-05
K15578,0.000108948654714938,5.88487758947297e-05,8.39378020886523e-05,5.83620413283201e-05,7.77880054599772e-05,5.48808390120831e-05,8.85724928603948e-05,5.91110104776771e-05
K15579,9.23293684024896e-07,0,1.99851909734886e-06,0,0,0,8.27780307106494e-07,1.00188153351995e-06
K15864,3.04686915728216e-05,7.10243847005358e-06,3.79718628496284e-05,7.99480018196165e-06,3.24116689416571e-05,1.62323608345598e-05,3.22834319771533e-05,2.50470383379988e-05
K15876,5.07811526213693e-05,1.92780472758597e-05,6.09548324691404e-05,2.3984400545885e-05,4.63023842023673e-05,2.70539347242663e-05,6.2083523032987e-05,4.40827874748778e-05
